Log_ID,Equipment_ID,Base_ID,Service_Date,Service_Type,Technician_Rank,Labor_Hours,Parts_Replaced,Cost_INR,Downtime_Days
ML-5001,EQ-1001,B04,2026-06-19,Corrective Repair,Naik Mech,8,"Alternator, Belt Drive",15424,3
ML-5002,EQ-1001,B04,2026-04-22,Oil & Filter Overhaul,Sergeant,4,"Radiator Core, Coolant",11262,1
ML-5003,EQ-1002,B02,2026-06-12,Corrective Repair,Subedar Tech,24,"Radiator Core, Coolant",12536,3
ML-5004,EQ-1002,B02,2026-04-19,Pre-Mission Inspection,Naik Mech,24,"Brake Pads, Hydraulic Line",15232,1
ML-5005,EQ-1003,B04,2026-06-10,Pre-Mission Inspection,Sergeant,6,"Starter Motor, Battery",11607,1
ML-5006,EQ-1003,B04,2026-04-17,Oil & Filter Overhaul,Naik Mech,12,"Sensors, Wiring Harness",15760,1
ML-5007,EQ-1003,B04,2026-02-20,Routine Preventive,Naik Mech,4,"Oil Filter, Gaskets",14127,1
ML-5008,EQ-1003,B04,2025-12-06,Pre-Mission Inspection,Havildar Tech,24,"Sensors, Wiring Harness",11724,1
ML-5009,EQ-1004,B03,2026-06-23,Pre-Mission Inspection,Sergeant,48,"Alternator, Belt Drive",32446,1
ML-5010,EQ-1004,B03,2026-05-19,Pre-Mission Inspection,Sergeant,48,"Injector Nozzle, Fuel Filter",22417,1
ML-5011,EQ-1005,B07,2026-06-26,Oil & Filter Overhaul,Warrant Officer,16,"Starter Motor, Battery",33129,1
ML-5012,EQ-1005,B07,2026-05-05,Routine Preventive,Naik Mech,16,"Tire Assembly, Hub Bearing",25329,1
ML-5013,EQ-1005,B07,2026-04-03,Pre-Mission Inspection,Naik Mech,4,"Starter Motor, Battery",21245,1
ML-5014,EQ-1005,B07,2026-02-24,Corrective Repair,Havildar Tech,24,"Oil Filter, Gaskets",21337,1
ML-5015,EQ-1006,B07,2026-06-04,Emergency Repair,Subedar Tech,4,"Oil Filter, Gaskets",17391,1
ML-5016,EQ-1006,B07,2026-04-18,Corrective Repair,Warrant Officer,16,"Tire Assembly, Hub Bearing",11942,2
ML-5017,EQ-1007,B02,2026-06-16,Oil & Filter Overhaul,Warrant Officer,48,"Tire Assembly, Hub Bearing",16994,1
ML-5018,EQ-1007,B02,2026-04-08,Corrective Repair,Subedar Tech,12,"Injector Nozzle, Fuel Filter",15175,2
ML-5019,EQ-1007,B02,2026-02-23,Oil & Filter Overhaul,Havildar Tech,16,"Oil Filter, Gaskets",14606,1
ML-5020,EQ-1008,B01,2026-05-15,Oil & Filter Overhaul,Warrant Officer,12,"Injector Nozzle, Fuel Filter",47101,1
ML-5021,EQ-1008,B01,2026-02-14,Emergency Repair,Sergeant,4,"Oil Filter, Gaskets",65326,7
ML-5022,EQ-1008,B01,2025-11-23,Corrective Repair,Subedar Tech,6,"Alternator, Belt Drive",42734,1
ML-5023,EQ-1008,B01,2025-08-21,Pre-Mission Inspection,Subedar Tech,6,"Tire Assembly, Hub Bearing",50555,1
ML-5024,EQ-1009,B04,2026-06-01,Routine Preventive,Warrant Officer,8,"Oil Filter, Gaskets",38351,1
ML-5025,EQ-1009,B04,2026-03-18,Oil & Filter Overhaul,Naik Mech,8,"Injector Nozzle, Fuel Filter",29724,1
ML-5026,EQ-1009,B04,2025-12-27,Routine Preventive,Havildar Tech,12,"Oil Filter, Gaskets",39216,1
ML-5027,EQ-1009,B04,2025-10-23,Pre-Mission Inspection,Sergeant,48,"Radiator Core, Coolant",39102,1
ML-5028,EQ-1010,B01,2026-06-19,Oil & Filter Overhaul,Warrant Officer,4,"Injector Nozzle, Fuel Filter",16684,1
ML-5029,EQ-1010,B01,2026-04-18,Emergency Repair,Havildar Tech,48,"Brake Pads, Hydraulic Line",12459,5
ML-5030,EQ-1011,B02,2026-06-21,Pre-Mission Inspection,Subedar Tech,8,"Injector Nozzle, Fuel Filter",113251,1
ML-5031,EQ-1011,B02,2026-04-24,Oil & Filter Overhaul,Warrant Officer,12,"Radiator Core, Coolant",77317,1
ML-5032,EQ-1012,B04,2026-06-23,Emergency Repair,Subedar Tech,12,"Radiator Core, Coolant",24482,7
ML-5033,EQ-1012,B04,2026-05-21,Corrective Repair,Sergeant,24,"Sensors, Wiring Harness",22932,7
ML-5034,EQ-1012,B04,2026-04-01,Oil & Filter Overhaul,Subedar Tech,48,"Oil Filter, Gaskets",25760,1
ML-5035,EQ-1013,B02,2026-07-23,Emergency Repair,Warrant Officer,12,"Brake Pads, Hydraulic Line",61049,7
ML-5036,EQ-1013,B02,2026-06-18,Emergency Repair,Naik Mech,12,"Tire Assembly, Hub Bearing",77195,2
ML-5037,EQ-1014,B05,2026-06-14,Pre-Mission Inspection,Warrant Officer,12,"Sensors, Wiring Harness",17156,1
ML-5038,EQ-1014,B05,2026-04-20,Oil & Filter Overhaul,Naik Mech,12,"Tire Assembly, Hub Bearing",15737,1
ML-5039,EQ-1014,B05,2026-02-04,Corrective Repair,Subedar Tech,48,"Tire Assembly, Hub Bearing",12531,5
ML-5040,EQ-1014,B05,2025-12-24,Oil & Filter Overhaul,Subedar Tech,6,"Alternator, Belt Drive",15530,1
ML-5041,EQ-1015,B07,2026-06-12,Emergency Repair,Warrant Officer,8,"Alternator, Belt Drive",13904,7
ML-5042,EQ-1015,B07,2026-04-08,Corrective Repair,Subedar Tech,6,"Tire Assembly, Hub Bearing",16124,5
ML-5043,EQ-1015,B07,2026-02-09,Corrective Repair,Warrant Officer,8,"Sensors, Wiring Harness",10824,2
ML-5044,EQ-1015,B07,2025-12-07,Routine Preventive,Warrant Officer,12,"Oil Filter, Gaskets",14297,1
ML-5045,EQ-1016,B01,2026-05-05,Routine Preventive,Naik Mech,24,"Oil Filter, Gaskets",42611,1
ML-5046,EQ-1016,B01,2026-02-18,Corrective Repair,Naik Mech,16,"Injector Nozzle, Fuel Filter",62955,5
ML-5047,EQ-1017,B05,2026-07-07,Routine Preventive,Subedar Tech,48,"Starter Motor, Battery",28215,1
ML-5048,EQ-1017,B05,2026-05-06,Oil & Filter Overhaul,Sergeant,48,"Oil Filter, Gaskets",31032,1
ML-5049,EQ-1018,B03,2026-05-11,Oil & Filter Overhaul,Naik Mech,24,"Alternator, Belt Drive",52299,1
ML-5050,EQ-1018,B03,2026-02-22,Emergency Repair,Sergeant,12,"Starter Motor, Battery",48163,7
ML-5051,EQ-1018,B03,2025-11-14,Corrective Repair,Warrant Officer,12,"Radiator Core, Coolant",49680,2
ML-5052,EQ-1019,B03,2026-06-17,Emergency Repair,Sergeant,16,"Radiator Core, Coolant",12730,7
ML-5053,EQ-1019,B03,2026-04-14,Oil & Filter Overhaul,Warrant Officer,24,"Radiator Core, Coolant",13550,1
ML-5054,EQ-1019,B03,2026-02-16,Corrective Repair,Subedar Tech,6,"Brake Pads, Hydraulic Line",12733,1
ML-5055,EQ-1019,B03,2025-12-09,Corrective Repair,Naik Mech,24,"Injector Nozzle, Fuel Filter",17162,5
ML-5056,EQ-1020,B02,2026-07-08,Routine Preventive,Havildar Tech,48,"Tire Assembly, Hub Bearing",23732,1
ML-5057,EQ-1020,B02,2026-05-13,Corrective Repair,Naik Mech,16,"Oil Filter, Gaskets",26891,7
ML-5058,EQ-1021,B08,2026-06-04,Corrective Repair,Naik Mech,24,"Brake Pads, Hydraulic Line",12075,2
ML-5059,EQ-1021,B08,2026-04-08,Emergency Repair,Sergeant,4,"Sensors, Wiring Harness",11141,5
ML-5060,EQ-1022,B02,2026-06-23,Emergency Repair,Havildar Tech,8,"Alternator, Belt Drive",11765,5
ML-5061,EQ-1022,B02,2026-04-16,Emergency Repair,Havildar Tech,8,"Tire Assembly, Hub Bearing",15435,7
ML-5062,EQ-1023,B01,2026-05-20,Routine Preventive,Warrant Officer,12,"Tire Assembly, Hub Bearing",67119,1
ML-5063,EQ-1023,B01,2026-02-13,Corrective Repair,Subedar Tech,8,"Brake Pads, Hydraulic Line",51580,5
ML-5064,EQ-1023,B01,2025-11-11,Emergency Repair,Havildar Tech,12,"Oil Filter, Gaskets",48408,3
ML-5065,EQ-1024,B02,2026-06-17,Pre-Mission Inspection,Warrant Officer,8,"Oil Filter, Gaskets",15504,1
ML-5066,EQ-1024,B02,2026-04-23,Emergency Repair,Havildar Tech,48,"Brake Pads, Hydraulic Line",12169,2
ML-5067,EQ-1024,B02,2026-02-09,Emergency Repair,Warrant Officer,8,"Alternator, Belt Drive",17036,5
ML-5068,EQ-1024,B02,2025-12-19,Corrective Repair,Sergeant,6,"Sensors, Wiring Harness",13765,7
ML-5069,EQ-1025,B05,2026-06-10,Corrective Repair,Sergeant,48,"Starter Motor, Battery",17038,5
ML-5070,EQ-1025,B05,2026-04-18,Oil & Filter Overhaul,Warrant Officer,12,"Oil Filter, Gaskets",16510,1
ML-5071,EQ-1025,B05,2026-02-12,Emergency Repair,Havildar Tech,24,"Injector Nozzle, Fuel Filter",13279,2
ML-5072,EQ-1026,B04,2026-06-27,Pre-Mission Inspection,Havildar Tech,24,"Tire Assembly, Hub Bearing",32994,1
ML-5073,EQ-1026,B04,2026-05-06,Corrective Repair,Havildar Tech,24,"Alternator, Belt Drive",21303,5
