Equipment_ID,Base,Equipment_Type,Status,Last_Service,Next_Service,Fuel_Used,Operating_Hours,Maintenance_Cost,Spare_Parts,Readiness
EQ-1834,Bhopal, Field Diesel Generator ,Operational,2026-07-05,2026-08-19,291.0,213,"48,900 INR",Available,90.8
EQ-1652,Pune, Heavy Tactical Truck ,Operational,2026-06-24,2026-08-23,608.0,225,22800,,87.8
EQ-1228,lucknow,Field Diesel Generator,Operational,09-07-2026,23-08-2026,278.0,195,50500,Available,93.7
EQ-1193,Kanpur,Tactical UAV Launcher,Operational,2026-07-12,2026-08-11,216.0,205,107600,Available,85.4
EQ-1752,Siliguri,Tactical UAV Launcher,operational,2026-08-02,2026-09-01,129.0,127,"85,600 INR",Available,82.5
EQ-2229,Siliguri,Heavy Tactical Truck,Operational,2026-06-09,2026-08-08,576.0,218,18800,Low,80.2
EQ-2147,Lucknow,Heavy Tactical Truck,Out of Service,2026-06-13,2026-08-12,,125,"₹32,200",Available,33.6
EQ-1876,Delhi,Armored Personnel Carrier (APC),Operational,2026-07-20,2026-10-18,1348.0,284,87300,Critical Shortage,94%
EQ-1507,Kanpur,Armored_Personnel_Carrier_(APC),operational,2026-07-31,2026-10-29,830.0,165,79900,Low,92.0
EQ-1461,Bhopal, Armored Personnel Carrier (APC) ,Operational,2026-07-03,2026-10-01,1504.0,293,92300,Available,90.3
EQ-2067,kanpur,Tactical UAV Launcher,Operational,25/07/2026,24/08/2026,153.0,130,89500,Available,84.2
EQ-1081,Bhopal,ARMORED PERSONNEL CARRIER (APC),operational,2026-05-24,2026-08-22,830.0,184,78300,Available,82.2
EQ-1956,Delhi,Artillery Tractor,Operational,2026-07-25,2026-10-08,880.0,250,59800,Available,91.9
EQ-1901,lUCKNOW,Armored Personnel Carrier (APC),Operational,2026-07-23,2026-10-21,956.0,213,"76,600 INR",Available,83.9
EQ-1018,Bhopal,Armored Personnel Carrier (APC),Operational,2026-07-23,2026-10-21,1093.0,210,"77,400 INR",Critical Shortage,86.9
EQ-1409,Bhopal,Armored Personnel Carrier (APC),operational,07-13-2026,10-11-2026,942.0,201,81500,Available,96.5
